Title,initial
"Meaning behind differentials","2014"
"linear approximation to the velocity","2015"
"Prove:$f(x)$ is monotonically increasing.","2014"
"Differential equation with limit","2014"
"Bounding $\cos x$ using Taylor's theorem","2014"
"Derivatives of little o.","2014"
"Prove area under curve is between two values","2015"
"What converges this series?","2014"
"What converges the series?","2014"
"Absolute value of integral","2014"
"Prove that series with $n$-th term $(-1)^n\cdot\frac{n^{n}}{(n+1)^{n+1}}$ is convergent","2013"
"if $F$ is defined as $\int_0^x f$, why isn't awalys true that $F'(x) = f(x)$?","2015"
"Ignoring constants when finding derivatives of trig functions","2014"
"Understanding substitution","2015"
"Proving an equality exists in a closed segment of a function.","2014"
"Show $f(x) \geq \sin(x)$ if $f(0)=0$, $f'(0)=1$ and $f''(x)+f(x)\geq 0$","2015"
"The equation $x \sinh y + y \cosh x =e^x$ defines $y$ as a function of $x$ near $(x,y)=(1,1)$. Find $\frac{\mathrm{d}y}{\mathrm{d}x}$ at $x = 1$.","2013"
"What are the steps to solving this average distance problem?","2015"
"Finding the values of the real constants such that the limit exists","2012"
"Show that for $\;\dfrac12<c<1\;$ then $\;f(x)=\dfrac1{\log x}-\dfrac1{x-1}=c\;$ has unique solution","2015"
"Maclaurin Series expansion interval","2014"
"Differentiating the polynomial $x^3 - 4x +6$","2011"
"Differentiating square root fractions","2011"
"Finding the equation of a tangent line","2011"
"variance of an integral of the sum of lognormal random variable","2015"
"Why $\lim_{h\to0}(2+h^2)$ is equal to 2 but not one?","2016"
"Find the volume of the solid generated by rotating $B$ about $l$","2016"
"derivative of $f(t) = 4.9t^2$, dividing by $h$","2011"
"The product rule with square roots","2011"
"Getting different answer when evaluating an integral from a released exam.","2014"
"How to detect inflection point in a non-differentiable part of a curve","2015"
"Solve the following","2015"
"Find the limit of the following series","2014"
"Cannot understand this part of the product rule for differentiation proof","2013"
"Why is this function not differentiable at $(0,0)$","2015"
"Related Rates Galore!","2014"
"find double integral","2011"
"$2^x+2^{-x} = 5$, solve $4^x+4^{-x}$ using the rules of exponents","2016"
"$\int_\limits{0}^\infty \frac{(1-\cos(x))\cos(x)}{x^2}dx=0$","2016"
"Optimization Problem: You are Designing a poster with 50 s. in of printing, a 4 in. margin at the top and bottom and a 2 in. margin on each side.","2015"
"Linear Motion and derivatives","2015"
"Need help showing this property involving the gradient","2011"
"Can you give me any suggestions with this problem on derivatives?","2011"
"Methods to prove a series is decreasing?","2015"
"Approximating Integral","2013"
"Fundamental theorem of calculus in high dimensions","2013"
"Simplifying an integral?","2015"
"Why is $\int_0^1 \frac{dx}{\sqrt{1 - x^4}} = \frac{\sqrt{\pi}\,\Gamma(5/4)}{\Gamma(3/4)}$?","2015"
"Evaluation of $\displaystyle \int\frac{1}{x^{\frac{1}{3}}+x^{\frac{1}{4}}}dx+\int\frac{\ln(1+x^{\frac{1}{6}})}{x^{\frac{1}{2}}+x^{\frac{1}{3}}}dx$","2015"
"Derivative of a function evaluated at a certain point with respect to the original function","2012"
"Show that $f^{-1}$ is differentiable $f^{-1}(x)+f^{-1}(y)=f^{-1}(xy)$","2016"
"show that $ \left | y^{2} f(y)-x^{2} f(x) \right | \leq \left | y^{3} -x^{3} \right | (\forall x,y\in \mathbb{R})$","2016"
"Find arc length of $6xy-y^4=3$","2013"
"Calculus: Proving an inequality equation with AM–GM inequality","2014"
"Find the conditions for the cubic polynomial to always be increasing","2014"
"A sufficient condition for linearity?","2011"
"Demonstrations - Calculating the area under a curve - integration - functions of one variable","2011"
"Explanation needed on simple definite integral homework","2011"
"Differential equations doubt","2013"
"What is the angle of inclination joining (1,4) and (3,7)","2013"
"Injective function $f(x) = x + \sin x$","2013"
"Find the maximum dimensions that will strengthen rod","2013"
"Simple Maclaurin Series $e^{\tan(x)}$","2012"
"A question of Integration by parts","2013"
"Net Outward Flux","2013"
"how to prove $\int_{0}^{l}f(x)dx \leq 0$","2014"
"Maxima,Minima and saddle points for functions of two variables","2011"
"$ \frac{\operatorname dx}{\operatorname dt} = \cos (\frac{3}{2} t^2)$ ,$\frac{\operatorname dy}{\operatorname dt} = 3\sin(t^2)$; Tangent line?","2013"
"Finding the concavity of a function without having to plot","2013"
"Derivative of inverse function","2014"
"A challenging calculus question about differentiation","2014"
"Differentiation using the Chain Rule","2015"
"Maximum value of $f(x) = \left|\sqrt{\sin^2 x+2a^2} - \sqrt{2a^2-1-\cos^2 x}\right|\;\;,$ Where $a,x\in \mathbb{R}$","2014"
"$f_1=\frac{x}{x+1}$ define $ f_n (x)=f_1 (f_{n-1}(x))$","2015"
"Differentiability of f(x)=x ($\sqrt{x}+\sqrt{x+9}$).","2015"
"Line integrals - parametric","2014"
"Is there an easier way to solve this solid of revolution problem?","2013"
"Is the Folium of Descartes a smooth curve?","2013"
"Existence of $\xi_1, \; \xi_2$ for a function $f$","2015"
"Absolute extrema of $t+\cot(1/2t)$","2013"
"Classification of discontinuities","2013"
"Finding the value of $b$ so $\int_1^b (x-2)^3 dx =0$","2013"
"Is this function bounded?","2011"
"Is the derivative of this function bounded?","2011"
"Related rates problem with bead sliding down a curve.","2012"
"Optimization question--of sorts","2013"
"Find this Equation","2012"
"Total differential in which arguments are a sum","2016"
"How can I find the volume of a cone using integration?","2012"
"Calculus 4. Area under arc.","2012"
"Continuous and non differentiable functions","2013"
"Limit of exponential integral $ \lim{t \rightarrow \infty}{(te^t\int_{t}^{\infty}\frac{e^{-s}}{s}ds)} $","2013"
"avoiding calculus","2012"
"Question about doing the integral to find the electric potential","2016"
"Formula to calculate final profit","2011"
"Volumes of rotation cylindrical shells","2014"
"Prove $C_n(x)$ has at least $2n$ roots","2016"
"Limit Challenge","2014"
"$\int \frac{dx}{x\log(x)}$","2013"
"Related Rates Word Problem Help?","2013"
"Can't figure out why this alternating series converges","2011"
"Series Problems","2014"
"What does the theorem ""If $\lim_{x\to a} f(x) = L$ and $f(x) = g(x) $ except at $a$ then $\lim_{x\to a} g(x) = L$"" mean?","2015"
"proof of limit explanation","2015"
"find sum of series $\displaystyle \sum_{i=0} ^{\infty} \frac{1}{2^{i^2}}$","2015"
"Computing integrals in terms of $\pi$","2015"
"Why is $f(x+h)=f(x)+hf'(x)+O(h^2)$?","2016"
"Find the direction of greatest increase","2016"
"Double integral over $\mathbb{R}^2$","2016"
"How to prove that continuous functions are Riemann-integrable?","2011"
"How can I find the limit of given trigonometric function?","2016"
"Derivative of $p(x)=f(g(h(k(x))))$","2015"
"How can it be proven that the Gaussian function has no ""trivial"" primitives?","2012"
"Let $\frac{{{x^5}}}{{1 - {x^5} + {x^{10}}}} = k$. What is $\frac{{{x^{15}}}}{{1 - {x^{15}} + {x^{30}}}}$?","2016"
"Open population question","2014"
"semi-infinite integral containing Bessel functions and trigonometric function","2015"
"Revolving Beacon confusing calculus problem","2015"
"A very elementary inequality with polynomials","2013"
"Determine the points on the parabola $y=x^2 - 25$ that are closest to $(0,3)$","2013"
"Make $2^8 + 2^{11} + 2^n$ a perfect square","2016"
"Lagrange and Cauchy!","2016"
"What is the $n$th derivative of $e^{-1/x^2}$?","2013"
"Find an Equation Given the Parameter: $x=t\cos(t),\ y=t\sin(t),\ t=π$","2015"
"Find a positive number $\delta$?","2012"
"How to calculate the limit of $(n+1)^{\frac{1}{n}}$ as $n\to\infty$","2012"
"Calc Homework Question","2012"
"Closed form solution of a definite integral?","2012"
"Where did I do this min/max problem incorrectly?","2013"
"Limit Rule $\lim f(x)^{g(x)}$","2014"
"Proving a Lipschitz constant does not exist.","2015"
"Find the abs max and min values of $f(x,y,z)=x-2y+3z$ on the ellipsoid $\frac{x^2}{6}+\frac{y^2}{3}+ \frac{z^2}{2}-1=0$","2014"
"Can someone help explain how to do these two work problems?","2014"
"Finding derivative of a definite integral","2015"
"The area bound by the curve and its tangent.","2013"
"Determine if $B:=\{(r\cosθ,r\sinθ)∈\mathbb{R}^2 \mid 0<r<1,0<θ<3π\}$ is open or closed or not open and not closed","2015"
"An interesting question about the curl of a vector field.","2015"
"Construct a continuous function $f$ over $[0,1]$ satisfying $f(0) = f(1)$ but $f(x) \neq f(x+a)$","2016"
"A question on differentiation of exponential function","2014"
"How can I solve this equation analytically. $\sqrt{x+\sqrt{2x+\sqrt{3x...}}}-100x\sin(x)=0$","2014"
"Evaluating a line integral ( vector calculus)","2014"
"determine the revenue, cost and profit functions","2014"
"Inequation with absolute values","2013"
"A property of two functions","2012"
"How to prove that the limit $\lim_{x\to 0} (1+2x)^x$ is $1$?","2013"
"Find $\lim_{x \to 0^{+}} \frac{\ln(x+1)}{x}$ without using L'Hopital's Rule?","2012"
"Limit of the sequence $a_n=\frac{n}{n+1}$","2012"
"About the integral $\int \log (x)/(x-k) dx$ and the polylogarithm","2015"
"Finding slope of line so that its normal at one point and tangent at another","2014"
"Common tangent between two parabolas","2014"
"$f(0) = 65$, $f(20) = 60$, Possible to determine $f(x)$?","2013"
"Generally determine if the series is convergent or divergent","2014"
"Is there alternate definitions of an integral based on values of function on open or closed interval ?","2015"
"Logarithmic Differentiation with powers to powers","2014"
"Show by using the definition of a derivative that $x\sin(1/x)$ is not differentiable at $x=0$.","2016"
"Troube solving integration by substitution property","2014"
"Given any $\sin$ or $\cos$ involved parametric equation, how do I find its period?","2016"
"Calculus area between graph and x axis","2014"
"Mellin transform of Tan Function","2016"
"Convergence of $\int_{1}^{\infty}\frac{x^p}{1+x^q}dx$","2016"
"Difference equation problem with trigonometric functions","2014"
"Find m for which $f(x)=\sqrt[3]{2x^2-mx+1}$ is differentiable on $\mathbb{R}$","2013"
"Point of Inflection or Turning Point?","2013"
"Vertical tangent vertical cusp question?","2013"
"Differentiating under integral sign -- trig counterexample","2011"
"Surface parametrization","2013"
"Proving a limit of a sequence","2013"
"If $(a_n^2)$ converges to $0$, then $(a_n)$ converges to $0$","2011"
"Isotope Decay / half-life","2013"
"Rational bounds for $\tan^{-1} x$","2013"
"What if we change the def of limit as following","2015"
"Integration by substitution","2016"
"$\lim_{x \rightarrow 0^+}$ $(\sin x)^{\ln x}$","2015"
"Find angle of inclination in $y=\frac{x^3}{3} - \frac{x^3}{2}+ 3$","2014"
"How to calculate $e^{i+1}$?","2014"
"How to Integerate $\frac{x}{x^2-4x+8}$?","2013"
"Integration Property using the product rule","2016"
"Why integrate using dy instead of dx using shell method?","2014"
"Prove that for any real numbers $a,b$ we have $\lvert \arctan a−\arctan b\rvert\leq \lvert a−b\rvert$.","2013"
"Extreme values and monotonicity","2013"
"How do I express this chain rule?","2011"
"Limit of $(\sin\circ\sin\circ\cdots\circ\sin)(x)$","2011"
"Least value of $b$ for which inequality is true.","2016"
"Integrating a function","2014"
"There exists $u\in(a,b)$ such that $f'(u)=\frac{f(u)-f(a)}{b-a}$","2016"
"Why we can use U-Substitution in above one and not in 2nd one.","2014"
"Finding the derivative of $y^x = e^y$","2013"
"Proving that $\lim_{x\to\infty}f(x)=\lim_{x\to 0}f(\frac{1}{x})$ for any function $f$","2013"
"How do you calculate the higher order deriviative of $x^n$?","2014"
"How to prove $\int\limits_0^1 {{x^m} \times {{(1 - x)}^n}dx} = \int\limits_0^1 {{x^n} \times {{(1 - x)}^m}dx} $","2015"
"Applying The Cauchy-Schwarz Inequality","2015"
"Simple Closed Form of a Function","2015"
"Prove the limit of a function with two variables is zero","2016"
"integrate a fraction of trig functions","2016"
"Evaluating the limit of $\ln(2x)/\ln(x)$ as $x\to\infty$","2013"
"Integrating $\dfrac{1}{(1+2x)(2\sqrt{x})}$.","2013"
"The ancient lighthouse related rates problem","2016"
"Antiderivative of the greatest integer function","2016"
"Area bounded by two circles $x^2 + y^2 = 1, x^2 + (y-1)^2 = 1$","2014"
"How find this system equation","2014"
"Why $f(x)=\int_1^x\frac{f'(1)}{t}dt$?","2015"
"Find line that is contained in the set","2016"
"What is the significance behind taylor series?","2015"
"Finding the certain angle at the intersection point","2013"
"Convergence of $a_n = 1/\log(n!)$","2015"
"Is this a continuous function or not? Why?","2013"
"Equation of a tangent line - complex","2014"
"Show that $h(x)=x^5+3x+6$ is one to one","2014"
"Find an antiderivative of the function","2013"
"Horizontal and Vertical tangent lines for a parametric curve","2013"
"Volume of a spheroid using calculus","2013"
"Remainder of a polynomial","2014"
"Two simple statements about continuous and monotonic functions","2015"
"The boundary of sin(1/x)","2012"
"boundary of any finite set of points in the plane","2012"
"Convergence of series with root","2014"
"What is the significance of limit and why is there always a difference between the value of x and the limiting value?","2014"
"Finding the equation of the tangent(s) from a point OFF the curve.","2014"
"Calculus in a discrete universe","2014"
"Relatively simple projectile motion math question","2014"
"How should one prove: $\lim_{x\to a}~ x^2 = a^2$? [Sketch of proof inside]","2011"
"How do I prove that $f(x,y)=xy$ is not uniformly continuous?","2012"
"Limit in Definition of Riemann Integral is one-sided?","2015"
"Solve Double Integral, likely using Fubini's Theorem","2013"
"IVT for $a(x) = x+2+\frac{|x-2|}{x-2}$","2016"
"Is $A=\{(x,y)\in\mathbb{R}^2 |1\leq x^2 +y^2 <4\} $ an open set?","2015"
"Functions of the form $\int_a^x f(t) dt$ that are commonly used.","2014"
"Work done pulling a leaky bucket","2014"
"Finding a tangent line","2011"
"Finding the equation of tangent line to the curve at the given point","2011"
"Differentiability at a point on a compact set implies difference quotients are bounded","2013"
"How can I write an epsilon-delta proof that a rational function has a certain limit?","2012"
"Calculate $\displaystyle\lim_{x\to a}\frac{a^{a^{x}}-{a^{x^{a}}}}{a^x-x^a}$","2012"
"Proof that for every $\lambda \in R$,$\exists \xi \in (0,\eta)$ s.t. $f'(\xi) - \lambda(f(\xi)-\xi)=1$","2016"
"Is the Series Convergent or Divergent? Find Sum","2014"
"Inverse of continuous function defined on an interval must be continuous?","2014"
"Taking the derivative of a compound fractions","2011"
"The function $A$ is given by the formula $f(t)=4-t$ and integral from $A(x) = \int_0^x f(t) dt$","2016"
"Determining $\int_0^2 \int_{\frac{x}{2}}^1 e^{x/y} dy dx$","2014"
"Related rate between angle of observer and rocket's speed.","2014"
"Calculating line integrals via Stokes theorem","2014"
"Using Rolle's Theorem","2013"
"The number of roots of $f(x)=xe^x-1 $","2014"
"Find the absolute maximum and minimum value of $f$","2015"
"Is $\sqrt x$ continuous at $0$? Because it is not defined to the left of $0$","2016"
"Chain rule and a square in the denominator","2011"
"Prove that there does not exist a continuous function over reals for which it takes on every value exactly twice","2016"
"Homogenous Linear ODE from standard to normal form. Justification.","2015"
"Prove $\lim_{x\to 7/4^+}\tfrac{3x}{4x-7}=\infty$ by definition","2015"
"Find derivative of $f(x)=(x+2)^{(x-1)}$","2013"
"help with understanding vector functions.","2015"
"Find $f ' (0)$ for the function $f(x) = g(x)/x^2$ when $x\not = 0$ and $ f(x)=0$ for $x=0$","2013"
"Is this possible: $\frac{dy}{dx} \not= 0$ when $y=0$, under some conditions","2015"
"Find an equation of the tangent line to the graph of $y = \sqrt{x-3}$ that is perpendicular to $6x+3y−4=0.$","2011"
"What are differentials?","2011"
"How to find inverse Laplace transform?","2015"
"Convergence of a improper integral","2015"
"How to find the derivative of $(e^{-t} +e^t)^3$","2015"
"A little more integration.","2014"
"proving $\lim_{n\rightarrow \infty}\frac{n!}{\sqrt{2\pi n}\cdot \left(\frac{n}{e}\right)^n} = 1$","2013"
"computation of maclaurin series for the function improper integral","2013"
"Differential question word problem?","2014"
"How to integrate with respect to $x^2$?","2015"
"Marginal Profit?","2014"
"Derivative of $\sqrt{\frac{x-1}{x+1}}$","2015"
"Integrate: $\int^1_0\ t\cosh(t)\ dt$","2015"
"Elementary Calculus Substition Problem","2016"
"cost of finding nxn cramer's method","2013"
"Equivalence of growth rate found through derivation of growth equation and rate found through $A = Pe^{rt}$.","2012"
"Finding Limit Using Taylor Polynomial","2015"
"Taking derivative of integral in application problem","2015"
"Evaluation of $\int\frac{\ln(\cos x+\sqrt{\cos 2x})}{\sin^2 x}dx$","2014"
"Implicit derivative switching $y$ and $x$","2015"
"prove that $F(x)$ satisfy $F(\lambda x+(1-\lambda)y)\leq \lambda F(x)+(1-\lambda)F(y)$","2013"
"Show $v(x) = 0$ is the only solution for $y'' + cy=0, v(0) = 0, v'(0)=0, c\gt 0$","2014"
"Real solution of $\sin (\cos (\sin x)) = \cos(\sin (\cos x))$.","2014"
"Find the area of the region bounded above by the curve...","2016"
"Prove that $(fg)^{(n)} = \sum_{k=0}^n \binom{n}{k}f^{(k)}(x)g^{(n-k)}(x)$","2016"
"Prove that $\exists c\in(0,1)$ such that $f(c)=c^2$","2013"
"Finding velocity and speed","2011"
"Differentiable function?","2011"
"Compact and neighborhood question","2014"
"A problem on Mean Value Theorem","2014"
"Why doesn't this integral equal 0?","2013"
"Vertical tangent line for r = 1 + cos($\theta$)","2016"
"How to evaluate $\lim_{x \to 0}\left({\sin{ \sin x}-x(1-x^2)^{\frac23}}\right)x^5?$","2013"
"Integral $ \lim_{n\rightarrow\infty}\sqrt{n}\int\limits_0^1 \frac {f(x)dx}{1 + nx^2} = \frac{\pi}{2}f(0) $","2013"
"Maximum of a function defined via a definite integral","2015"
"Find the rate of change in height of water level.","2015"
"Rayleigh quotient for real matrices, critical points","2012"
"How to prove it using Mean Value Theorem","2012"
"Compute $ \sum_{k=0}^{\infty} 3^k {n \choose k}$","2013"
"Prove that $\int\int_Df(x,y)dA \leq \int\int_D g(x,y)dA$ if $f(x,y) \leq g(x,y)$ for all $(x,y) \in D$","2014"
"Let $f$ be an integrable function on a Jordan set $D$. Prove that $|f|$ is integrable on $D$","2014"
"Intersection between a function and its derivative","2012"
"Assigning a finite value to a divergent integral","2012"
"Importance if Rolle's and Lagrange's theorem in daily life: for school children","2013"
"Differentiate the equation for linear motion","2011"
"is $\exp \left( - 1 \over x^2 \right)$ differentiable  at $x=0$","2012"
"Evaluate: $\int \frac{1}{x^7-x}\ \mathrm{d}x$","2013"
"Supposedly easy question, at what speed does the plank hit the floor?","2015"
"Limit composition","2013"
"Minimum or maximum area of the triangle formed by a linear function and the axes","2013"
"About the function $ f(a) = \int \limits_0^{\infty} \frac{\ln y}{e^{ay} + 1} \ dy $","2013"
"What does ""exponentially increasing"" actually mean?","2016"
"Area of region inequality","2015"
"I was trying to prove the multiplication rule for limits but I got stuck trying to factor $a_nb_n-LM$","2011"
"Differentiate the equation: $y = x{(1 + 3x)^5}$ using the product rule","2013"
"Evaluate gradient","2016"
"Derivative on removable discontinuity","2014"
"Derivative of a natural log to the power.","2013"
"Taylor's Theorem with Peano's Form of Remainder","2016"
"Intermediate value theorem on infinite interval","2014"
"Simplified summation sign","2016"
"Is the floor of x continuous?","2016"
"Derivative of any $x$ which is not zero.","2015"
"Limit involving the exponential of an expression plus a small-o","2011"
"Prove that $\sup{(A+B)} = \sup{A}+\sup{B}$","2016"
"Integrate $\int_{0}^{2}{\int_{y^2}^{4}{ycos(x^2)dxdy}}$","2015"
"What is $\int \log x \,\, \mathrm{d}x$?","2016"
"Hyperbolic functions and the Saint Louis arch","2012"
"Limits of $n^{p/n}$ and $(n!)^{1/n}$","2013"
"Maximum value of $l+m$","2016"
"Maximum value of $\frac{3x^2+9x+17}{x^2+2x+9}$","2016"
"Find ${{{d^2}y} \over {d{x^2}}}$ when $x = {1 \over {t + 1}}$ and $y = {1 \over {t - 1}}$","2013"
"Use the Mean Value Theorem to prove inequality","2015"
"For what values $p,q$ does the improper integral $\int_0^1 x^p (1-x^2)^q dx$ converge?","2014"
"Find all values of parameters to make a certain function continuous.","2013"
"Calculate Subtotal from Total and Percentage","2013"
"Problem solving a simple integral equation","2014"
"How to maximize $u$ here?","2013"
"How is the Chain rule used to show that $\int_t^{t+\tau} f(x(t))\frac{dx(t)}{dt} \ dt=\int_{x(t)}^{x(t+\tau)} f(x) \ dx$?","2014"
"Average Value of a Surface","2015"
"Prove that the length of segment on tangent is constant for $y=\frac a2\ln{\frac{a+\sqrt{a^2-x^2}}{a-\sqrt{a^2-x^2}}}-\sqrt{a^2-x^2}$","2014"
"Tangent to curve $x^3+y^3=a^3$ meets it again.","2014"
"Trouble isolating a variable in a simple equation.","2014"
"Need help analytically solving an integral","2015"
"If $a(s) > 0,b(s) > 0,c(s) > 0$, whether $\int {a(s)ds} \le \int {b(s)ds} \Rightarrow \int {c(s)a(s)ds} \le \int {c(s)b(s)ds} $","2016"
"Does the chain rule tell us anything about $\frac{d}{dx}h(z,y)$?","2015"
"Limiting Value of $f_n(x)$?","2015"
"let $D=\{(\frac{i}{p},\frac{j}{p}:p\in \mathbb N, i,j=1,2,...,p-1\}$. Does $D$ has content zero?","2014"
"Calculating time to arbitrary points of distance with initial velocity and non-uniform acceleration","2014"
"If the limit of a function when x goes to infinity is infinity, does that mean the integral from 1 to infinity is also infinity?","2016"
"Equality of integrals","2013"
"How does one show that $\lim_{n \rightarrow \infty}\int_{0}^{1}\frac{x^{n}}{1 + x^{n}}\, dx = 0$?","2012"
"Low value attained by real function with positive second derivative.","2015"
"Show that $f:= \frac{1 - 2x}{x^2 - 1}$ is monotonically increasing in the open interval $(-1, 1)$","2015"
"If $s$ is the sum of all distinct real roots of $f(x)$, then find correct option","2016"
"Problem with Implicit Differenation","2016"
"telescopic series & sum of sequences - how to?","2014"
"Find $\lim_{x\to \infty} \ln(x+1)/(\ln(x))$","2012"
"what is the taylor expansion of $\ln(\sin x/x)$","2013"
"Critical Value of this function","2014"
"How can my model for a compound angular arm be adjusted to account for a special case?","2016"
"How do you evaluate an integral with an absolute value?","2014"
"How close does the graph $y=\sqrt{x}$ come to the point $(1/2,16)$","2014"
"under the conditions given, prove $\lim\limits_{x\to 0} f(x)g(x)$ does exist.","2012"
"How can I use limits in everyday life?","2015"
"Find all x numbers for $(x-1)(x-3) > 0$","2015"
"cyclic functions","2013"
"The chain rule, how to interpret it","2011"
"Assume $f$ is a continuous one-to-one function over an interval. Prove that $f$ is strictly monotone","2016"
"Is the following integral convergent or divergent $\int_{0}^{1} \frac{1}{\sin x}dx$?","2016"
"Simplifying $\frac{\partial V}{\partial T} \cdot \frac{\partial T}{\partial P} \cdot \frac{\partial P}{\partial V}$","2011"
"Find a continuous function over reals that takes on every value exactly three times","2016"
"Definitions: max, min, sup and inf of a sequence","2013"
"If a statement is true for every element in a sequence, would it be true at limit when $n \to \infty$?","2015"
"Roots of a functionwith condition $\int_0^\pi f(x) \sin x dx = \int_0^\pi f(x) \cos x dx =0.$","2015"
"How can a square root be defined since it has two answers?","2016"
"Sum of the tangents of an infinite number of concentric circles should equal the diameter of the first circle","2016"
"If $A$ is dense, prove that $f(x) = 0$","2016"
"Quadratic Approximation","2016"
"Why $\sum_{k=0}^\infty (-1)^k \frac{(\ln 4)^k}{k!}=0.25$?","2015"
"Sketch the Graph $x = {(y + 4)^2} - 8$","2014"
"Weird Calculus problem","2014"
"How to differentiate integrals with variable limits?","2013"
"What is the orthogonality condition for associate legendre polynomials with different indexes?","2014"
"Find The Equation","2015"
"A seemingly complicated proof.","2013"
"Taking the limit of $n(e^{-1/n}-1)$ as $n$ approaches infinity","2013"
"Ratio Test question (proof)","2013"
"How to link two curves?","2011"
"Proving with epsilon for a continuous function","2013"
"Find the value of $\sum_{k=1}^{n} k \binom {n} {k}$","2014"
"Question about derivatives and inequalities","2014"
"Convergence test of sinus function","2015"
"If $ f(x)=(x^2-1)^n $ then $ f^{(n)} $ has $ n $ roots","2013"
"Determine the number of saddle points under specified conditions","2015"
"Why is indefinite integral called so?","2014"
"Finding $f(0)$ and $f'(2)$ when $f(x+y+z)=f(x)f(y)f(z), \forall x,y,z \in \mathbb{R}$","2011"
"Integration using different substitutions resulting in different answers?","2013"
"How to bound this integral?","2014"
"Newton's method problem","2011"
"Find $(a, b)$ such that $\lim_{x \to 0} \frac{ax -1 + e^{bx}}{x^2} = 1$","2013"
"Derivative of $x$ with respect to $xy$","2013"
"Integral calculation problem","2013"
"Legendre Polynomials (Calculus Vol.2, Tom M. Apostol, Chapter 6, Exercise 6.21, 14)","2015"
"How do I use log in a function?","2013"
"Simple question about antiderivative?","2013"
"find the volume of the solid when the region under the curve $y=x\sqrt{4-x^2}$ from $x=0$ to $x=2$ is rotated about the $y-axis$","2016"
"Don't understand this problem and how I use the MVT to solve it.","2016"
"Integral Area Question Concerning 3 Functions","2015"
"prove to have at least one real root by Rolle's theorem","2014"
"Show that for any positive integer $n$ there is $x \in [0,1-\frac{1}{n}]$ for which $f(x) = f(x+\frac{1}{n})$","2016"
"Fundamental Theorem Of Calculus problem: reading a graph","2013"
"Stereographic projection in $\mathbb{R}^n$","2012"
"Anti-Derivative where f(n) = m","2013"
"Theorem regarding Sequences","2016"
"If $\int_0^\infty fdx$ exists, does $\lim_{x\to\infty}f(x)=0$?","2012"
"is this relation true?","2013"
"Is floor function an algebraic function?","2014"
"Incremental computation of a simple function","2011"
"Calculation of $\lim_{x\rightarrow 0}\frac{\sin (\pi\cos^2 x)}{x^2}$","2014"
"what is the convergence domain of this series (including endpoints)","2014"
"Derivative of product of three functions: product rule","2011"
"How can I get unblocked on learning Calculus?","2015"
"Direct Partial Integration - How do I solve this?","2014"
"If $f^2$ monotonically increasing in $R$ then f monotonic","2014"
"From where have Taylor theorem popped out?","2014"
"How to find the Global maxima and minima of the function on an open interval?","2015"
"Finding the limit of a function $n^3 / 3^n$","2014"
"Testing series for absolute convergence","2014"
"Volume by Disc and Shell","2013"
"Find the area of the surface obtained by revolving $\sqrt{1-x^2}$ about the x-axis?","2013"
"Convergence of $(1+x^n)^{1/n}$","2013"
"Find the value of $a^2b$ .","2013"
"why does this $2\sin^{2}\frac{1}{2n}\leq2(\frac{1}{2n})^2$ hold?","2016"
"Calculate the integral $xF(x) \, dx$, between $0$ and $1$","2012"
"Rate of Change Calculus question for a sphere.","2012"
"An exponential equation","2015"
"Evaluation of $\int\frac{2+\sqrt{x}}{\left(x+\sqrt{x}+1\right)^2}dx$","2015"
"Taylor remainder continouity","2015"
"Given Two functions find last 4 digits of some value","2015"
"Let $a_n = \frac{2n}{3n+1}$, determine if {$a_n$} is convergent.","2014"
"Prove that $\sqrt{5}$ exists","2014"
"integral of $\bigg(\int_{-\infty}^{\infty}\frac{1-\cos u}{|u|^{r+1}}du\bigg)^{-1}$","2016"
"Exponential function to map from [0, 1] to arbitrary [min, max]?","2016"
"Why definition of bounded variable needs us to check values only after certain values?","2016"
"Integral calculus","2012"
"Nth derivative function","2014"
"Time dilation by special relativity","2013"
"How to integrate: $\int _{-1}^1\left(4x+1\right)\sin \left(x^2+x\right)\cos \left(x^2\right)dx\:$","2014"
"Supremum of a functional on $C^1([0,1])$","2015"
"Mean Value theorem: showing an equation has a solution","2015"
"good books on calculus with finite elements","2015"
"Doubt on Calculus made easy exercise question Exercise 5 Question 10.","2015"
"Compact way to predicting percent values","2012"
"Solving $y = xc^x + x + 1$, where c is a constant","2011"
"Am I misapplying L'Hopital's rule?","2011"
"What is the limit of $\lim_{x\to -\infty}\frac{\sqrt{x^2}}{x}$?","2015"
"Why is being onto necessary for a function to have inverse?","2016"
"Integral Issues.","2015"
"The limit of $\tan(n)$","2014"
"How find this $f^{(4)}(0)$","2013"
"Differentiability and the Chain Rule","2011"
"How to prove that $e^\pi>\pi^e$","2014"
"Differentiation using definition of derivatives","2012"
"Suppose that $f$ is continuous on $\mathbb{R}$ and $\int_{x-1}^{x}f(t)\,dt=x^{2}$. Find $f(x)$.","2013"
"An inequality containing prime numbers.","2013"
"Constant length of segment of tangent","2016"
"Partial derivatives, directional derivatives and differentiability of a function","2011"
"Related Rates - Growth of the side of a triangle","2014"
"How do I find the values for $u$ and $v$ when transforming an integral from $x,y$ coordinates?","2014"
"Peter planted a tree. Its growth is given by $h(t) = \frac{a}{1+be^{kt}}$ for $t$ years. Find $a$,$b$ and $k$","2016"
"Mean Value Theorem in two intervals","2016"
"Radius of convergence - Maclaurin series","2014"
