recent,Title,initial
"2016","Reduction of basis and dimensions","2016"
"2016","Prove that $\frac{(\sum_{i=1}^m \|s_i - p\|_1)}{\sqrt2} \leq \sum_{i=1}^m \|s_i - p\|_2 \leq \sum_{i=1}^m \|s_i - p\|_1$","2016"
"2015","Point reflection uniqueness","2015"
"2016","The range of $T^*$ is the orthogonal complement of $Ker(T)$","2013"
"2016","(need help) let $T: V \rightarrow V$, if V is finite dimensional, and V = null(T) + range(T) then V is the direct sum of null(T) and range(T)","2016"
"2016","linear spaces and linear map between linear spaces - conclusions","2016"
"2014","matrix with Eigenvalue 1,2,3","2014"
"2013","Is the identity ($f(x)=x$) a linear dependence?","2013"
"2016","For what $a,b,c,d$ are $A$ and $B$ similar?","2016"
"2016","What is the difference between the projection onto the column space and projection onto row space?","2016"
"2016","operators under real vector space","2016"
"2011","Proof of Sylvester's Law of Inertia","2011"
"2011","difference between eigenspace and generalized eigenspace","2011"
"2014","Solving an equation for X","2014"
"2014","mathematical induction on product of matrices","2014"
"2013","Calculate Percent Increase When an Increase is Indicated By Smaller Number?","2013"
"2015","dimension and rank misunderstood","2015"
"2015","Prove that $\|u + v\| = \|u - v\|$ if and only if u and v are orthogonal.","2015"
"2012","Linear algebra rank question","2012"
"2016","Prove that if $A$, $B$ are similar matrices then for every $\lambda$ $\in$ $\mathbb{R}$ the matrices $A-\lambda I$ and $B-\lambda I$ are similar.","2016"
"2011","Linear Map Proof","2011"
"2011","Existence of a matrix, characteristic polynomial and minimal polynomial","2011"
"2014","Orthogonal Projection of $v$ on sub-space $U$","2014"
"2014","$T : R^n \rightarrow R^n$ is a linear map","2014"
"2014","Show that $F = \{a + b\sqrt{5} | a, b ∈ \mathbb Q\}$ is a field","2014"
"2014","Bases of Matrix","2014"
"2014","Find the coordinates of the expression $(\cos x + \sin x)^3$ in the basis {$1, \sin x, \cos x, \sin 2x, \cos 2x, \sin3x, \cos 3x$}","2014"
"2016","On a hypothetical computer with a word length of three digits and truncation, compute the solution of a system of equations","2016"
"2014","Does every linearly independent set of n vectors in $R^n$ forms a basis in $R^n$?","2014"
"2012","Properties for a matrix being invariant under rotation?","2012"
"2016","Showing the linear independence between two row equivalent matrices","2013"
"2015","A linear functional on the space of transformations is basis independent","2015"
"2015","Show that $B$ is invertible if $B=A^2-2A+2I$ and $A^3=2I$","2015"
"2014","Direct sums and matrices","2014"
"2016","If $f\star g=\mathcal{O}$ then $f=\mathcal{O}$ or $g=\mathcal{O}$","2016"
"2016","Each linear operator has upper-triangle matrix for some basis?","2016"
"2013","Difference Between Imagespace and Columnspace of a Matrix?","2013"
"2013","Find a basis for the range and kernel of $T$.","2013"
"2016","$V$ be a f.d.v.s over a field $K$ . The $K[x]$-module on V admits a basis $\iff $ V={0}","2016"
"2016","Linear operator T that commutes with every projection operator, infinite dimensional case","2014"
"2014","every symmetric matrix can be orthogonality diagonalised","2014"
"2016","Have i correctly formulated the LP from a worded problem?","2016"
"2016","Showing that $O$ is the only nilpotent matrix in $\langle A \rangle$ where $A$ is diagonalizable","2016"
"2016","Find matrix $A$ that solve $Au = v$ for every $x$","2016"
"2015","Expanding linear functional to base of $V^*$","2015"
"2015","Proving that $(u+v)×w=u×w+v×w$","2015"
"2015","Overdetermined system with parameters","2015"
"2014","Can the zero vector be an eigenvector for a matrix?","2014"
"2014","The number of the solutions of $‎ x^{10}=‎ ‎ ‎\begin{bmatrix}1&0\\‎ ‎0&1‎ ‎\end{bmatrix}‎$","2014"
"2016","Showing that non-diagonalizable matrix is similar to upper triangle matrix","2016"
"2016","Prove that the two vectors have to be linearly independent","2016"
"2015","Any vector in $S^n(V)$ (symmetric algebra of vector space $V$) can be obtained as $\sum_{i}^{\text{finite}}v_i^n$ for $v_i\in V$?","2015"
"2013","Orthogonal projection of vector with a special structure.","2013"
"2015","Two circles whose points are equidistant","2015"
"2016","Conditions for union of subspaces to be subspace","2016"
"2016","adding rows together linear algebra","2016"
"2015","Pagerank existence of a graph given a vector (refined)","2015"
"2014","Finding the basis of an intersection of subspaces","2014"
"2013","Showing a linear map is surjective","2013"
"2015","Matrix Inequality","2013"
"2013","What does ""scale the coefficients so that $a^2 + b^2 + c^2$ is normalized to 1"" mean?","2013"
"2013","What is mass frequency and how it arose","2013"
"2015","Intuitive understanding of the $BAB^{-1}$ formula for changing basis in linear transformations.","2015"
"2013","Linear functional and polynomials","2013"
"2014","About a vector space $F^\infty$","2014"
"2015","$\Bbb K$-algebra structure on isomorphic vector space","2015"
"2014","What are the possible dimensions of all $n \times n$ matrices such that $A\vec{x} = \vec{0}$?","2014"
"2013","A homogeneous system $Ax = 0$ with $\det(A) = 0$?","2013"
"2013","Let $T: \mathbb{R}^3→\mathbb{R}^3$ be a linear transformation. Show that there is a line $L$ such that $T(L) = L$.","2013"
"2014","Matrix rotation, projection, and reflection","2014"
"2014","Is this easy matrix diagonalizable or not?","2014"
"2016","Intuition for the Cauchy-Schwarz inequality","2015"
"2014","Matrix multiplication as combination of rotation and stretching","2014"
"2016","Product with positive definite matrix","2016"
"2013","Linear Transformations w/ Kernel & Range","2013"
"2014","Show that Sine is not in the span of Cosine","2014"
"2014","Linear Algebra proof with column space","2014"
"2016","Find the solution set to the corresponding homogeneous system of equations","2016"
"2016","Set of conjugate vectors that span both Krylov space","2016"
"2015","Evaluuating a determinant full of expresions in terms of the roots of a quintic","2013"
"2016","Is $\{(x,y,z) \in \mathbb{R}^3 : x^2+3y^2+12z^2=0\}$ a vector space?","2016"
"2016","Let $\{e_1,\ldots,e_n\}$ be an arbitrary basis in a finite dimensional inner product space. Prove $\exists \{f_1,\ldots,f_n\}: (e_i,f_j)=\delta_{ij}$","2016"
"2013","Definition of singular matrices","2013"
"2016","Matrix $p$ norm","2016"
"2016","Existence of a block upper triangular form matrix representation for a linear operator","2016"
"2016","Minimize Energy Function","2016"
"2016","How to compute the inverse of matrix $A$","2016"
"2011","Finding $a_n$ using a given matrix","2011"
"2011","A problem in Linear algebra","2011"
"2013","Normal linear map properties","2013"
"2014","Compute the rank and nullity of the $\,3\times 3$ matrix over $\Bbb Z^3$","2014"
"2015","Point-Slope Equation of a line. Why is one answer incorrect and other is correct?","2015"
"2016","Linear dependence and determinant of submatrices","2016"
"2013","Two distinct vectors $x,y$, and existence of linear functional.","2013"
"2013","If $U\nsubseteq W$, then $\text{Ann}(W)\nsubseteq\text{Ann}(U)$","2013"
"2013","Set of $\mathbb{R}^n$ bases coordinate vector coordinates a basis for V?","2013"
"2013","Inverse of an Atomic Lower Triangular Matrix","2013"
"2015","Express one constant as a linear combination of two other constants?","2015"
"2016","Canonical Jordan Form","2015"
"2015","Error in linear algebra proof","2015"
"2013","Break-even analysis","2013"
"2013","Invertibility of Augmented matrix [ A | b ] & Solutions of Ax = b [GStrang, P182, 3.5.39]","2013"
"2013","Question about Proof of Cayley-Hamilton:","2013"
"2016","Project the vector $\vec{v}$ on the line ${x=3t,y=t,z=2t}$","2016"
"2012","Complex matrix that commutes with another complex matrix.","2012"
"2013","Matrix $A\in M_{3}(\mathbb{Q})$ meet the equation $A^{8} = I$. Prove, that $A^4=I$ and answer, if this matrix can be diagonalized over $\mathbb{Q}$","2013"
"2015","Basis, Ordered Basis, and Linear Independence","2015"
"2016","Find $h$ that will put a vector in a given span","2016"
"2014","Strange question about reflection in Linear Algebra","2014"
"2015","Motivating to understand Double dual space .","2012"
"2014","Show that Axioms 7, 8, and 9 hold.","2014"
"2014","Showing that this is a subspace iff a constant is zero","2014"
"2016","Linear Combinations of Matricies","2016"
"2013","computing determinant using blocks and permutations","2013"
"2014","If $A$ is an $n \times n$ matrix and $ A^2 = 0$, then $\text{rank}(A)\le n/2$.","2013"
"2015","matrix with pure imaginary eigenvalue which is of different geometric and algebraic multiplicity","2015"
"2015","irrational power of a matrix and sine of a matrix.","2015"
"2014","Basis and dimension of the null space and range","2014"
"2016","$\text{range}T=W$ if and only if $(\text{range}T)^{\circ}=\{0\}$","2016"
"2015","An inequality for the dimension of the sum of subspaces","2015"
"2014","The residue of $x^{15}-1$ divided by $x^2-1$","2014"
"2014","Let {$a_1, a_2, a_3$} be some basis in $R^3$. Does the set of vectors {$b_1, b_2, b_3$} form a basis if","2014"
"2014","Prove that $A^{10}$ is equal to linear combination of $A^k, k = 1,...,9$ and identity matrix.","2014"
"2012","Finding the adjoint operator of $T(x,y) = (2x - y, x + 3y)$","2012"
"2012","Can someone resolve my confusion about uniqueness of diagonalization?","2012"
"2016","Invariant subspace","2016"
"2016","Characteristic polynomial of $A^2$, given the characteristic polynomial of $A$","2016"
"2015","How to find linear equation from text","2015"
"2013","Eigenvalues of a self-adjoint operator necessarily distinct?","2013"
"2013","invertibility of a matrix with gaussian distances","2013"
"2015","For invertible $M$, symmetric $N$, prove Prove that $M^TNM$ is positive definite if and only if $N$ is positive definite.","2011"
"2016","$\langle Ax,x \rangle > 0$ but not symmetric","2016"
"2016","Why does this method for finding basis work?","2016"
"2014","Given $\lambda$ and $A$, find $v$ such that $\lambda = v^{\intercal}Av$","2012"
"2012","what can we say about the SVD of a matrix with respect to another SVD?","2012"
"2016","Same solution implying row equivalence?","2013"
"2016","Trace of the transformation","2016"
"2013","If the only subspaces invariant under $T$ are $\mathbb R^n$ and the zero subspace, then $U$ is diagonalieable.","2013"
"2011","rank of a matrix","2011"
"2013","Finding the Eigenvector for eigenvalue 0","2013"
"2011","Linear algebra: rank","2011"
"2016","Show that polynomial of degree 3 with no x^2 is a subspace of P3","2016"
"2016","If eigenvector matrix $P$ diagonalizes both $A$ and $B$, prove $A$ and $B$ commute under matrix multiplication.","2016"
"2013","If $\gcd(g(x),P_A(x)) \neq 1$ then prove that $g(A)$ is not invertible","2013"
"2016","Let $M,N$ be linear subspaces of $V$. Then if $x,y$ are vectors in V, Show that $(x+M)\cap (y+N) \neq \varnothing \iff x-y \in M+N$.","2016"
"2013","If a subspace is $T$-invariant, prove that it is $T^*$-invariant.","2013"
"2015","Linear Algebra - ""Closest"" Solution","2015"
"2016","Inner products on vector spaces and identification of a space with its dual","2016"
"2016","Show that any vector can be written as a sum of a vector mapped to zero and a constant multiple of a fixed vector","2016"
"2014","Let V be a vector space. If every subspace of V is T-invariant, prove that there exist a scalar multiple c such that T=c1v","2014"
"2015","Matrices of rank 1; show that $A^2=c\cdot A$ for some scalar $c$.","2014"
"2013","Finding a basis for vector space $U$","2013"
"2015","The Fredholm Alternative","2014"
"2011","Why is $L(\mathbb{R})$  just the set of multiplication maps?","2011"
"2013","Geometry of a subset of $\mathbb{R}^3$","2013"
"2013","What is the precise statement of the theorem that connects matrices and linear transformations?","2013"
"2014","Linear Algebra Characteristic polynomial - isomorphism","2014"
"2011","How is it shown that a Hermitian matrix will be positive definite?","2011"
"2012","Linear algebra: projection","2012"
"2016","Norm of sum of vectors equals difference of norms.","2016"
"2014","For the matrix A as given below, which of them satisfy $A^6=I$?","2014"
"2015","Find the adjoint","2015"
"2016","Non symmetric matrix and its transpose and positive definiteness","2016"
"2016","Is it crucial to have the system consistent in this theorem?","2016"
"2012","Derivation of the algebraic equation for least squares","2011"
"2013","Canonical basis of a linear tranformation","2013"
"2013","Matrix associated with a unitary operator","2013"
"2012","How do I prove this equality?","2012"
"2014","Show that $f$ and $f^*$ have the same eigenvalues.","2014"
"2012","Enforcing sum of Hermitian matrices to be positive definite","2012"
"2012","Determinant of a real skew-symmetric matrix is square of an integer","2012"
"2015","If $A$ and $B$ are positive definite, then is $B^{-1} - A^{-1}$ positive semidefinite?","2013"
"2014","Give a matrix $A$ find a symmetry matrix $X$,such $A=X^3-10X^7$","2014"
"2016","Without using row operations, and by inspection, Find one nontrivial solution to Ax=0","2015"
"2015","Find QR Factorization","2015"
"2011","Linear Algebra Question","2011"
"2015","Proof that the largest eigenvalue of a stochastic matrix is 1","2011"
"2011","Finding a vector in Euclidian space that minimizes a loss function subject to some constraints","2011"
"2015","If $A^2$ and $B^2$ are similar matrices, do $A$ and $B$ have to be similar?","2015"
"2015","How do I prove that $\{AB-BA\}$ does not span matrix space?","2015"
"2011","Forming a matrix from a nilpotent operator","2011"
"2014","What is the dimension of the kernel of a functional?","2014"
"2015","Orthonormal basis matrix trace","2015"
"2014","Is an algebraic equation is a form of algebraic expression or are they different?","2014"
"2014","Linear transformation and eigens","2014"
"2014","Trace of the power matrix is null","2014"
"2016","What is the projection matrix of a matrix $X$ into the row space of a matrix $Y$?","2016"
"2015","Prove that $det(A)= a_nx^n+a_{n-1}x^{n-1}+\cdots+a_0 $","2015"
"2015","Diagonalizable Matrices - Eigenvector test","2015"
"2015","Adjoint and Adjugate are same or different?","2015"
"2016","Normal Matrices","2016"
"2016","Eigenvalues of Unitary Matrix","2016"
"2011","linear algebra - equations","2011"
"2013","Saturation of the Cauchy-Schwarz Inequality","2013"
"2013","Which of the following vectors are in ker(T)?","2013"
"2013","Which of the following are in R(T), when R(T) is the range of t.","2013"
"2014","Finding the basis for the row space of matrix $A$","2014"
"2014","Why isn't the orthogonal vector to a direction vector of a plane not necessarily perpendicular to such plane?","2014"
"2011","Linear regression or average percent change?","2011"
"2014","Differences of grade between this three books","2014"
"2015","Equalities of rank inequalities","2015"
"2013","Extension Theorem and Span","2012"
"2013","Linearly (In)Dependency?","2013"
"2011","How can I find a linear map which has given transformation matrix?","2011"
"2011","How to prove that complex numbers (C) are linear space over real numbers (R) field?","2011"
"2012","Elementary Row/Column Operations and Change of Basis","2011"
"2015","Need help with simple algebra equation","2015"
"2015","Showing its minimal polynomial has a multiple root, given some facts about a linear operator","2012"
"2012","Trace of product of matrices","2012"
"2014","If $S$ spans a vector space $V$, does $S$ contain a basis?","2014"
"2014","Pseudo Inverse Solution for Linear Equation System Using the SVD","2011"
"2014","if $A^2 \in M_{3}(\mathbb{R})$ is diagonalizable then so is $A$","2011"
"2016","Basis maps to Linearly Independent Set","2016"
"2016","Linear Algebra - properties of positive semidefinite matrix","2016"
"2015","Given a bilinear (or quadratic) form, how can you find the orthogonal of a vector space?","2015"
"2015","If $T^2=O$ where $O$ is $O(\vec{x})=\vec{0}$, prove that $T$ has no inverse","2015"
"2012","linear transformation matrix","2012"
"2014","Why is not a vector space isomorphic to its dual space?","2014"
"2011","references for Jordan Canonical Forms","2011"
"2011","Bounding the 1-norm of a matrix","2011"
"2016","In $P_2$, find the change-of-coordinates matrix","2014"
"2013","diagonalizability of matrix","2013"
"2013","Understanding the Leibniz formula for determinants","2013"
"2015","show that some differential operator has infinitely many eigenvalues","2015"
"2013","T- invariant subspace and continuous functions","2013"
"2013","Is $\{\sin x,\cos x\}$ independent?","2013"
"2013","row echelon vs reduced row echelon form","2013"
"2014","Solving one equation for two unknowns","2013"
"2013","Construction of a linear function $\wedge^k V \longrightarrow \wedge^k W$","2013"
"2016","If two vector spaces $V$ and $W$ are isomorphic and $V$ is F-D then $W$ is F-D. Furthermore, $\text{dim} V = \text{dim} W$.","2016"
"2016","Counting the number of surjective linear maps","2016"
"2014","If rank$(A)=r$, show that rank$(A^\top A)=r$","2014"
"2015","Every nonsingular $m\times m$ matrix is row equivalent to identity matrix $I_m$","2015"
"2014","Mapping entire cartesian plane to a line with 2x2 matrix","2014"
"2016","changing basis in linear Algebra","2016"
"2013","Invariant cyclic subspace problem proof","2013"
"2014","Construct an endomorphism $f$ such that $f\circ f=-Id$","2014"
"2015","What values of a is the set of vectors linearly dependent?","2014"
"2015","Distance to an affine hyperplane","2014"
"2015","Let $V$ be a linear space s.t. $\dim\, V=n$ and $f_1,f_2,\dots,f_m$ be linear functionals ($m<n$). Show that $\exists x\neq 0$ s.t. $f_i(x)=0$.","2015"
"2015","Linear Algebra - Find the line that passes through a point and intersects two lines.","2015"
"2016","$U,W$ are subspaces. show $\dim(U+W) = 1+\dim(U \cap W)$, then $\{U+W,U\cap W\}=\{U,W\}$","2016"
"2014","Compute $B=QAQ^{-1}$","2014"
"2014","Why is $\det(A-\lambda I)=(\lambda-c)^n$ when $(A-cI)^n=0$?","2014"
"2016","Using a dot product to get the least squares method","2016"
"2016","How to work out the Transition matrix corresponding to two bases","2016"
"2016","Show that the set is unbounded","2016"
"2013","Columns of A - Linear independence, span, rank. [GStrang P180, 3.5.19]","2013"
"2014","Invariants of matrices","2014"
"2014","Derivation of the adjoint of a matrix","2014"
"2016","Question on Dual space $V^*$ : is there a geometrical representation?","2016"
"2013","Eigenvalues of a rotation","2013"
"2016","Inequalities of trace of inverse matrix","2016"
"2013","The characteristic polynomial of a polynomial in a matrix?","2013"
"2013","Find an isomorphism between $L(V,V)$ and the space of $n\times n$ matrices over $F$ with inner product $(A|B) = tr(AB^*)$","2013"
"2011","Linear algebra: Projections","2011"
"2014","Find the matrix for T with respect to the standard bases.","2013"
"2013","Find the matrix for $T$ with respect to the standard bases $B = \{1,x,x^2\}$ for $P_2$.","2013"
"2016","how to express the result of triple cross product of two vectors in spherical coordinates (unit vector)","2016"
"2016","Properties of $f^{\star}$","2016"
"2013","Sum of two subspaces","2013"
"2013","Solve a Linear Equation","2013"
"2013","Is a Jordan block not further block diagonalizable?","2013"
"2016","Show $\alpha$ is selfadjoint.","2016"
"2016","Prove permutation of jordan blocks","2016"
"2016","Is it possible for a non-singular matrix to not have an inverse?","2016"
"2013","Orthgonal complement of $U=\{X\in M_2(\mathbb R): X=\left(\begin{array}{cc} a+2b&a-b\\ b&a \end{array}\right), a, b\in\mathbb R\}?$","2013"
"2014","Subspaces related problem from hoffman kunze","2014"
"2016","Distance between two symmetric equations","2016"
"2014","Prove that if $b \ne 0$ then the set of solutions to $Ax=b$ is not a subspace","2014"
"2016","Basis of a Subspace given an Equation.","2016"
"2014","Find a point on a plane so that the position vector of R is perpendicular to the plane.","2014"
"2013","Hermitian operator","2013"
"2013","Different matrices with same determinant and same numbers","2013"
"2014","Exercise with matrix","2014"
"2014","Show That the Linear Transformation is NOT linear","2014"
"2016","A simple question: can a linear transformation have the same matrix in different bases?","2016"
"2015","What exactly is the reason as to why the solution space of the characteristic equation of a matrix give the eigenvalues of that matrix?","2015"
"2015","Help me identify whether given linear equations are homogeneous","2015"
"2015","co-ordinate geometry question","2015"
"2016","what is the dimension of a matrix?","2013"
"2015","Geometric meaning of outer product of a vector with itself","2015"
"2015","An informal proof that $K^n =(K^n)^{**}$ or transposing two times does nothing","2015"
"2014","Given the frame $B=\{(1,1,0),(0,1,1),(1,1,1),(0,0,1),(0,1,-1)\}$, find (if possible) a (i) $(2,1)$ surgery,","2014"
"2013","How to find zero of an space","2013"
"2013","Finding a point on a plane.","2013"
"2016","Show $\{ T(v_1),\ldots,T(v_n) \}$ is linearly independent","2016"
"2016","Which matricies are a product of projections?","2016"
"2016","QR Factorization - Derivation of the R matrix","2016"
"2013","Prove null $T^k$ = null $T$ and range $T^k$ = range $T$","2013"
"2013","Orthogonal complement of orthogonal complement $w^{\perp\perp}$","2013"
"2012","Matrices whose Linear Combinations are All Singular","2012"
"2012","Norm of linear operator.","2012"
"2014","Relation between trace and rank for projection matrices","2014"
"2014","Linear Algebra Subspace question","2014"
"2014","Concerning crossproduct and orthonormality of vectors","2014"
"2014","Writing $T:V \rightarrow \mathbb{F}$ as an inner product.","2014"
"2014","Basis for vector space $\mathbb{R}^{m\times n}$","2014"
"2015","Computing the basis of a subspace of matrices with the given nullspace.","2015"
"2013","Find equation of the plane through the origin with basis <1,2,-1> and <2,3,4>.","2013"
"2015","Prove that $\mathbb{R}^n$ cannot be a finite union of its hyperplanes .","2015"
"2015","Primary decomposition theorem verification","2015"
"2015","Why does eliminating from linear equations work but adding them does not?","2015"
"2014","maximum value of the determinant","2014"
"2014","Equivalence of inner products?","2014"
"2013","Linear least squares: overdetermined system necessary? and finding solutions?","2013"
"2013","Prove that $U$ is unitary with respect to the product $P_ {T}$","2013"
"2016","True/False Linear Algebra Question","2016"
"2015","Prove that for any real non-singular matrix $Q$, the product $QQ^T$ is a positive definite matrix.","2015"
"2016","Eigenvector of a matrix of ones associated with $\lambda =0$","2016"
"2015","Find the slope of the line that goes through the given points","2015"
"2016","Help in this corollary in Hoffman and Kunze's linear algebra book","2016"
"2014","Prove that : $a^n+b^n+c^n=x^n+y^n+z^n$; $\forall n\in \mathbb{N}$","2014"
"2016","True/False exam Question","2016"
"2012","$T^2=S$ implies $\text{rank}T=\text{rank}S$?","2012"
"2014","Number of solutions of a linear equation $AX=B$","2013"
"2016","An n x n matrix A is not invertible if and only if col(A) contains the zero vector","2016"
"2012","How to solve $M=SU=US?$","2012"
"2015","Generating Symmetric Matrix","2015"
"2015","Proving a property of vector spaces","2015"
"2016","Understanding basis algorithm result","2016"
"2016","Find a basis for Each corresponding eigenspaces","2016"
"2013","Properties of matrix equation CA=C","2013"
"2013","Relation Between Determinant and Eigenvalue","2013"
"2013","On the equality of the Schwarz inequality","2013"
"2016","Full rank factorization","2016"
"2015","Understanding the Frobenius Norm for Sparse Coding","2015"
"2015","Can I work out minimal polynomial of a matrix just by looking. For example ...","2015"
"2013","Find the perpendicular distance between a point and a line?","2013"
"2014","Problem with simple orthogonal matrix","2014"
"2016","Finding the a Jordan Basis for a matrix with 2 eigen vectors and one generalized eigen vector","2016"
"2016","In general is it true that $||v-u||= ||u-v||$? Thanks!","2014"
"2013","Simplyfying the equation","2013"
"2016","""All positive solution"" to system of linear equations","2015"
"2015","Simple Linear Algebra Question about consistency of a linear system","2015"
"2015","What is wrong with my method of finding the size of matrix A in $Ax=b$?","2015"
"2015","Determine the null space of a linear map","2015"
"2015","Matrix Equation: Reduced Row Echelon Form","2015"
"2016","Finding dimensions directly","2016"
"2013","solving equations by the method of substitution","2013"
"2013","Subspaces, linear dependece/independence","2013"
"2013","Does every quadratic matrix define an endomorphism?","2013"
"2015","How many planes are there with the desired property?","2015"
"2012","Simple Linear Algebra Problem","2012"
"2013","Why is $S = \{(x,y) \in \mathbb{R}^2 \mid \text{$x$, $y$ even integers}\}$ not a subspace of $\mathbb{R}^2$?","2013"
"2015","Adjoint Linear Algebra","2015"
"2013","$A\in M_n(\mathbb{Q})$ satisfy $A^5=I$, and 1 isn't an eigenvalue.","2013"
"2013","Prove, that dimension of $W$ is equal the dimension of a minimal polynomial of $F$","2013"
"2016","for all $a\in \mathbb{R} $ Finding a basis for the column and row space","2016"
"2013","A question regarding a linear transformation in $\mathbb{R}^3$.","2013"
"2013","What can be said about the minimizer of $\| b - A x \| ^2+ \| x \|^2$?","2013"
"2013","Linear maps, vectors, injectivity and surjectivity question","2013"
"2013","Why can I use the eigenvectors of a matrix to ""decouple"" each coordinate contribution?","2013"
"2014","confirmation of method: Write the vector $(2,-3)$ as a linear combination of vectors $(-1,4)$ and $(1,2)$","2014"
"2014","Proving that the range of linear transformation is a linear subspace","2014"
"2014","Finding a basis for a set of polynomials","2014"
"2014","Determine whether or not a set is linearly independent","2014"
"2013","Determine a vector given vector the scalar and vector projection","2013"
"2013","About vector addition","2013"
"2013","Algebraic equation translation","2013"
"2014","How do I obtain the taylor expansion of the matrix logarithm sum","2014"
"2016","The maximum eigenvalue of the sum of two matrix","2013"
"2011","Proving that $\det{(A^i_j})= \sqrt{ |\det{(G)}|}$","2011"
"2012","Calculate a vector that is perpendicular to Oy axis.","2012"
"2015","Kernel and image of a linear map (with parameter)","2015"
"2015","$\det(I+\epsilon V)=1+\operatorname{trace}(V)\epsilon+O(\epsilon^2)$","2015"
"2015","Matrix Representation (linear algebra)","2015"
"2011","Linear Algebra: linear combinations problem","2011"
"2016","The minimal polynomial of $T|_W$ divides the minimal polynomial for $T$","2015"
"2013","Is sub-vector an established mathematical entity?","2013"
"2013","Linearly independent","2013"
"2016","Can someone explain this part of this property of invertible matrices proof?","2016"
"2013","For what values of a,b,c do there exist solutions to this system of equations?","2013"
"2015","$A,B$ are two real positive matrices then $\det (A+B) > \max(\det A , \det B)$","2015"
"2015","If $UT=TU $, why is the range of $U $ invariant under $T $?","2015"
"2015","Finding the zero vector of a vector space","2015"
"2016","What kind of vector spaces have exactly one basis?","2015"
"2013","Do $X(X'X)^{-1}(X'X)^{-1}X'$ and $(X'X)^{-1}$ have the same non-zero eigenvalues?","2013"
"2016","Given the linear map $T:V\rightarrow V$ such that $T(B)=AB+BA$ for a given A; what is the characteristic polynomial in terms of A?","2016"
"2015","What's the degree of freedom of this kind of matrix?","2015"
"2015","Prove that $\lambda$ is an eigenvalue of $A$ if and only if $\lambda$ is an eigenvalue of $A^T$.","2015"
"2015","Kernel of powers of a normal operator","2013"
"2016","Showing a basis for a polynomial","2015"
"2016","Show that $X_1^T[I_n - X({X^T}X)^{-1}X^T] = 0$","2016"
"2014","Distance of a vector from a subspace - Linear Algebra","2014"
"2014","Show that this matrix is invertible","2014"
"2015","Orthonormal basis and unit vectors","2015"
"2016","What is the condition for hermitian matrix $H$ to satisfy $e^{iHt}\mathbf{e_k} \cdot \mathbf{e_k} \neq 0$?","2016"
"2015","Is the sum of rank one matrices positive semi definite?","2015"
"2015","Polarity is symmetric","2015"
"2015","Explicit notation of matrix","2015"
"2012","linear algebra subspace","2012"
"2013","$||I_2|| \neq \sqrt{tr(I_2^T*I_2)}$","2013"
"2016","If $\langle Ta, a\rangle \in \mathbb{R}$ for all $a$ then $T$ is self-adjoint","2013"
"2015","Can we prove existence of Spectral Decomposition from Singular Value Decomposition(SVD)??","2015"
"2014","If $AB = I$ then $BA = I$: is my proof right?","2014"
"2014","Does it span $\mathbb{R}^3$?","2014"
"2011","$A,B\in M_{n}(\mathbb{R})$ so that $A>0, B>0$, prove that $\det (A+B)>\max (\det(A), \det(B))$","2011"
"2011","A dimension problem","2011"
"2014","Linear Algebra Subspace Proof","2014"
"2015","If $ S,T \in L(V_{1},V_{2}) $, then show that $ \ker(S) \subseteq \ker(T) $ if and only if $ T = P S $ for some $ P \in L(V_{2}) $.","2015"
"2014","Minimal polynomial, Annihilating polynomial, characteristic polynomial","2014"
"2012","linear algebra bases and dimensions","2012"
"2011","Non diagonalizable matrix","2011"
"2014","Orthogonal Subspaces","2013"
"2013","Singular value decomposition with positive values?","2013"
"2014","Prove that this affine transformation is a translation","2014"
"2014","Is the set S the subspace of C[0,1]? use the properties of the subspace to prove your answer.","2014"
"2013","Nullity of a linear transformation","2013"
"2011","Bézout-like identities for linear operators","2011"
"2011","Casimir element invariance","2011"
"2014","Positive eigenvalues $\Rightarrow |A + A^T| >0$.","2014"
"2016","Is there a definition of matrix power of a matrix?","2016"
"2013","If a linear map $A$ is injective, then then there exists $c$ such that $|Ax|\geq c|x|\;\;\forall x$","2013"
"2013","Flaw with proving that $S$ is a basis of $V$ iff $\|v\|^2=\sum_{i=1}^{n}{c_i}^2$","2013"
"2016","determinant of crossing product of two matrix","2016"
"2016","Past exam paper finding eigenspaces from eigenvalues.","2016"
"2016","Is any non-Hermitian $(N\times N)$ matrix with $N$ eigenvectors diagonalizable?","2016"
"2015","Why we define the adjoint operator","2015"
"2013","Prove that a set of matrices is a subspace","2013"
"2013","Linear Transformations - Direct Sum","2013"
"2016","Direct Sum of Two Subspaces","2014"
"2016","How to check if a vector is in the image of linear transformation","2016"
"2016","Almost completing the argument: $p: L \to L$ a projector, then $im~ p \oplus \ker p = L$.","2016"
"2014","A Rank Identity with two $n\times n$ matrices","2014"
"2015","Clarification: Suppose that $(v_1, \ldots ,v_n)$ is a basis of $V$ and $(w_1, \ldots ,w_n)$ is the basis of $W$ ...","2014"
"2014","Is the converse of Cayley-Hamilton Theorem true?","2011"
"2015","Proving Set of Matrices with [1,1] in Nullspace is a Subspace and Basis","2015"
"2015","Show that $e^{At}B = B e^{At}$ if $AB= BA$","2015"
"2015","Prove that $V= \text{Im} f \oplus \ker{g}$","2015"
"2015","In $\mathbb{R}^3$, if $v$ is orthogonal to $x$ and $y$, then $x \times y$ is a scalar multiple of $v$.","2015"
